Pais,Poblacion,Independencia,Capital
Antigua y Barbuda,95 581,1981,Saint John's
Argentina República Argentina,45 030 748,1816,Buenos Aires
Bahamas Mancomunidad de las Bahamas,328 316,1973,Nasáu
Barbados,292 495,1966,Bridgetown
Belice,356 858,1981,Belmopán
Bolivia Estado Plurinacional de Bolivia,11 969 649,1825,Sucre[65]​
Brasil República Federativa de Brasil,211 823 665,1822,Brasilia
Canadá,37 411 590,1867,Ottawa
Chile República de Chile,18 650 114,1818,Santiago
Colombia República de Colombia,50 220 856,1810,Bogotá
Costa Rica República de Costa Rica,6 172 543,1838,San José
Cuba República de Cuba,11 179 995,1902,La Habana
Dominica Mancomunidad de Dominica,74 757,1978,Roseau
Ecuador República del Ecuador,17 080 778,1830,Quito
El Salvador República de El Salvador,6 356 670,1841,San Salvador
Estados Unidos Estados Unidos de América,329 995 528,1776,Washington D. C.
Granada,111 229,1974,Saint George
Guatemala República de Guatemala,15 289 958,1840,Ciudad de Guatemala
Guyana República Cooperativa de Guyana,1 035 909,1966,Georgetown
HaitíRepública de Haití,11 485 800,1804,Puerto Príncipe
Honduras República de Honduras,8 893 259,1838,Tegucigalpa
Jamaica,3 070 340,1962,Kingston
México Estados Unidos Mexicanos,128 166 749,1821,Ciudad de México
Nicaragua República de Nicaragua,7 366 798,1838,Managua
Panamá República de Panamá,5 005 246,1903,Ciudad de Panamá
Paraguay República del Paraguay,7 162 812,1811,Asunción
Perú República del Perú,33 050 325,1821,Lima
República Dominicana,10 606 865,1844,Santo Domingo
San Cristóbal y Nieves Federación de San Cristóbal y Nieves,53 329,1983,Basseterre
San Vicente y las Granadinas,106 350,1979,Kingstown
Santa Lucía,167 464,1979,Castries
Surinam República de Surinam,595 824,1975,Paramaribo
Trinidad y Tobago República de Trinidad y Tobago,1 320 479,1962,Puerto España
UruguayRepública Oriental del Uruguay,3 286 314,1828,Montevideo
Venezuela República Bolivariana de Venezuela,28 500 302,1811,Caracas
39 801 695,,1 003 830 249,0
